	movie	date_added_kp	year	orig_name	number
0	Предвестник землетрясения	15.02.2020	2019	Earthquake Bird	1
1	Неогранённые алмазы	07.02.2020	2019	Uncut Gems	2
2	Сумка с деньгами	06.02.2020	2018	Meonibaek	3
3	Хороший лжец	01.02.2020	2019	The Good Liar	4
4	Файл PTU: Смертельная ловушка	30.01.2020	2005	PTU neui ging ji ngau yin haam jing	5
5	Выход	28.01.2020	2019	Eksiteu	6
6	Джей и Молчаливый Боб: Перезагрузка	27.01.2020	2019	Jay and Silent Bob Reboot	7
7	500 дней лета	27.01.2020	2009	(500) Days of Summer	8
8	Стокгольм, Пенсильвания	27.01.2020	2015	Stockholm, Pennsylvania	9
9	Дело Коллини	26.01.2020	2019	Der Fall Collini	10
10	Американская Мэри	25.01.2020	2012	American Mary	11
11	Профессор Марстон и его Чудо-женщины	25.01.2020	2017	Professor Marston and the Wonder Women	12
12	Женщина в огне	24.01.2020	2018	American Woman	13
13	Сиротский Бруклин	24.01.2020	2019	Motherless Brooklyn	14
14	Дождливый день в Нью-Йорке	24.01.2020	2019	A Rainy Day in New York	15
15	Корпоративные животные	22.01.2020	2019	Corporate Animals	16
16	Портрет девушки в огне	22.01.2020	2019	Portrait de la jeune fille en feu	17
17	Окей, Лекси!	22.01.2020	2019	Jexi	18
18	Ночь в осаде	22.01.2020	2019	Trauma Center	19
19	Герцог Бургундии	20.01.2020	2014	The Duke of Burgundy	20
20	Обезьяны	19.01.2020	2019	Monos	21
21	Роковое искушение	19.01.2020	2017	The Beguiled	22
22	Альфа: Право убивать	19.01.2020	2018	Alpha: The Right to Kill	23
23	Свет вокруг	19.01.2020	2005	Everything Is Illuminated	24
24	Жутко громко и запредельно близко	19.01.2020	2011	Extremely Loud & Incredibly Close	25
25	Хорошие мальчики	19.01.2020	2019	Good Boys	26
26	Хеллбой	18.01.2020	2019	Hellboy	27
27	Прощение крови	18.01.2020	2010	The Forgiveness of Blood	28
28	Француз	18.01.2020	2019		29
29	Подсобка дьявола	12.01.2020	2019	The Shed	30
30	Я мечтаю на другом языке	12.01.2020	2017	Sueño en otro idioma	31
31	Старые шпионские игры	12.01.2020	2019	Spider in the Web	32
32	Боже мой!	12.01.2020	2019	Roubaix, une lumière	33
33	Тихий шторм	12.01.2020	2014	The Silent Storm	34
34	История о супружестве	12.01.2020	2019	Marriage Story	35
35	Мысленный волк	12.01.2020	2019		36
36	Решала. Нулевые	12.01.2020	2019		37
37	Воин с золотым шестом	10.01.2020	2014	Pendekar Tongkat Emas	38
38	Страсть	10.01.2020	2000	The Right Temptation	39
39	Жаркие летние ночи	09.01.2020	2017	Hot Summer Nights	40
